Artist,Track,Energy,Valence,Url_youtube
Sean Paul,Contra La Pared,0.588,0.598,https://www.youtube.com/watch?v=-gCe4WrmOIk
Elvis Presley,Can't Help Falling in Love,0.293,0.343,https://www.youtube.com/watch?v=vGJTaP6anOU
Elvis Presley,Blue Christmas,0.27,0.58,https://www.youtube.com/watch?v=3KK6sMo8NBY
Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),0.236,0.829,https://www.youtube.com/watch?v=BO_g0BgWiLI
Elvis Presley,Suspicious Minds,0.382,0.714,https://www.youtube.com/watch?v=WrMGGouem3c
Elvis Presley,Burning Love,0.748,0.972,https://www.youtube.com/watch?v=zWDcot2YezA
Elvis Presley,Always On My Mind,0.387,0.495,https://www.youtube.com/watch?v=wTRSlZEq_l0
Elvis Presley,If I Can Dream,0.715,0.282,https://www.youtube.com/watch?v=u-pP_dCenJA
Elvis Presley,Jailhouse Rock,0.537,0.905,https://www.youtube.com/watch?v=gj0Rz-uP4Mk
Elvis Presley,In the Ghetto,0.266,0.491,https://www.youtube.com/watch?v=6am8V5KNJ4A
Elvis Presley,(You're The) Devil in Disguise,0.733,0.874,https://www.youtube.com/watch?v=OhW6t4rEJwU
2Pac,Hit 'Em Up - Single Version,0.844,0.586,https://www.youtube.com/watch?v=41qC3w3UUkU
2Pac,Ambitionz Az A Ridah,0.91,0.805,https://www.youtube.com/watch?v=qL7blpZ2GSk
2Pac,California Love - Original Version,0.85,0.761,https://www.youtube.com/watch?v=omfz62qu_Bc
2Pac,All Eyez On Me (ft. Big Syke),0.723,0.843,https://www.youtube.com/watch?v=XuoC6M9A0iQ
2Pac,Do For Love,0.63,0.717,https://www.youtube.com/watch?v=zupm3f0QrQs
2Pac,Changes,0.665,0.331,https://www.youtube.com/watch?v=0_5XeetZf68
2Pac,Dear Mama,0.54,0.322,https://www.youtube.com/watch?v=Mb1ZvUDvLDY
2Pac,Keep Ya Head Up,0.732,0.595,https://www.youtube.com/watch?v=SHVzWMFMH6Y
2Pac,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),0.904,0.854,https://www.youtube.com/watch?v=5V7u672xw4g
2Pac,Can't C Me,0.852,0.673,https://www.youtube.com/watch?v=Pz5F0Ju97r0
Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),0.861,0.955,https://www.youtube.com/watch?v=BGNkkVrJZks
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",0.652,0.551,https://www.youtube.com/watch?v=Wa5B22KAkEk
Snoop Dogg,Drop It Like It's Hot,0.632,0.662,https://www.youtube.com/watch?v=GtUVQei3nX4
Snoop Dogg,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",0.732,0.503,https://www.youtube.com/watch?v=L4jUUYsVZO4
Snoop Dogg,From The D 2 The LBC (with Snoop Dogg),0.768,0.591,https://www.youtube.com/watch?v=RjrA-slMoZ4
Snoop Dogg,Sweat - Remix,0.732,0.731,https://www.youtube.com/watch?v=KnEXrbAQyIo
Snoop Dogg,Beautiful,0.695,0.961,https://www.youtube.com/watch?v=_FE194VN6c4
Snoop Dogg,I Wanna Fuck You,0.48,0.278,https://www.youtube.com/watch?v=jcKeii2MXGY
Snoop Dogg,Qué Maldición,0.531,0.683,https://www.youtube.com/watch?v=d-Gi-qJ1CAQ
Snoop Dogg,Riders On The Storm - Fredwreck Remix,0.786,0.831,https://www.youtube.com/watch?v=y_z-adsJjmE
Lil Wayne,Love Me,0.634,0.496,https://www.youtube.com/watch?v=KY44zvhWhp4
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.786,0.739,https://www.youtube.com/watch?v=-59jGD4WrmE
Lil Wayne,Mirror,0.622,0.401,https://www.youtube.com/watch?v=OZLUa8JUR18
Lil Wayne,Forever,0.906,0.54,https://www.youtube.com/watch?v=eDuRoPIOBjE
Lil Wayne,6 Foot 7 Foot,0.752,0.606,https://www.youtube.com/watch?v=c7tOAGY59uQ
Lil Wayne,Lollipop,0.43,0.462,https://www.youtube.com/watch?v=2IH8tNQAzSs
Lil Wayne,A Milli,0.688,0.731,https://www.youtube.com/watch?v=1Vf4mMCpNY0
